libId,algn_seg_with_mult_algn,aligned,alignment_not_unique,ambiguous,bad_cycles,category,coding_bases,correct_strand_reads,estimated_library_size,fastq_total_reads,ignored_reads,incorrect_strand_reads,intergenic_bases,intronic_bases,library,mean_read_length,median_3prime_bias,median_5prime_bias,median_5prime_to_3prime_bias,median_cv_coverage,no_feature,not_aligned,pct_adapter,pct_chimeras,pct_coding_bases,pct_correct_strand_reads,pct_intergenic_bases,pct_intronic_bases,pct_mrna_bases,pct_pf_reads,pct_pf_reads_aligned,pct_reads_aligned_in_pairs,pct_ribosomal_bases,pct_usable_bases,pct_utr_bases,percent_duplication,pf_aligned_bases,pf_bases,pf_hq_aligned_bases,pf_hq_aligned_q20_bases,pf_hq_aligned_reads,pf_hq_error_rate,pf_hq_median_mismatches,pf_indel_rate,pf_mismatch_rate,pf_noise_reads,pf_reads,pf_reads_aligned,read_pair_duplicates,read_pair_optical_duplicates,read_pairs_examined,reads_aligned_in_pairs,reads_aligned_sam,reads_with_mult_align,ribosomal_bases,strand_balance,too_low_aQual,total_reads,unmapped_reads,unpaired_read_duplicates,unpaired_reads_examined,utr_bases,mapped_reads_w_dups
lib68834_AAAM5GYM5,98.5,74.9,728409,390970,0.0,FIRST_OF_PAIR,272899018.0,2818208.0,9728547.0,6113512.0,0.0,2817877.0,18740095.0,60714394.0,Unknown Library,56.676952,0.843714,0.571574,0.678302,0.413277,595531,0,0.0,0.005791,0.548962,0.500029,0.037697,0.122133,0.835126,1.0,0.992714,0.994334,0.005119,0.827579,0.286164,0.251487,497118227.0,501651882.0,237184822.0,233345114.0,4185120.0,0.001778,0.0,0.000101,0.001846,0.0,4435899.0,4403580.0,1438879.0,0.0,5817507.0,4378628.0,4578898.0,4511218.0,2544764.0,0.499832,0,4435899.0,111527.0,76344.0,111544.0,142257536.0,0.9698273267477024
lib68835_AAAM5GYM5,98.5,75.1,740931,370539,0.0,FIRST_OF_PAIR,255143960.0,2634294.0,8846623.0,5524531.0,0.0,2637299.0,10774328.0,45113137.0,Unknown Library,56.645174,0.840272,0.578236,0.67746,0.4138,405950,0,0.0,0.004651,0.568776,0.499715,0.024019,0.100568,0.870634,1.0,0.992363,0.994306,0.004851,0.862684,0.301858,0.249852,448584287.0,452718139.0,212632591.0,209047713.0,3752689.0,0.001687,0.0,9.7e-05,0.001726,0.0,4005362.0,3974775.0,1284417.0,0.0,5236558.0,3952141.0,4150911.0,4086784.0,2176206.0,0.500278,0,4005362.0,106373.0,74472.0,106388.0,135408629.0,0.9671311465172338
lib68836_AAAM5GYM5,98.4,73.9,728158,382723,0.0,FIRST_OF_PAIR,255761354.0,2618786.0,8305920.0,5548815.0,0.0,2616877.0,9005705.0,41749060.0,Unknown Library,56.663989,0.823242,0.584027,0.732275,0.420466,365323,0,0.0,0.004014,0.578734,0.500182,0.020378,0.094469,0.88098,1.0,0.992526,0.994345,0.004234,0.872475,0.302246,0.263652,441932517.0,446240776.0,209420146.0,206020380.0,3696947.0,0.001651,0.0,9.4e-05,0.001688,0.0,3947128.0,3917626.0,1362110.0,0.0,5257581.0,3895471.0,4100323.0,4034546.0,1871294.0,0.500267,0,3947128.0,106809.0,76288.0,106832.0,133572456.0,0.9667673187878854
lib68837_AAAM5GYM5,98.7,73.2,968164,346243,0.0,FIRST_OF_PAIR,233454927.0,2502332.0,8431689.0,5971775.0,0.0,2494257.0,18743673.0,74027146.0,Unknown Library,56.653316,0.846916,0.569837,0.679965,0.412404,695554,0,0.0,0.005111,0.49804,0.500808,0.039987,0.157925,0.796156,1.0,0.992627,0.994831,0.006029,0.788544,0.298116,0.275835,468747286.0,473272083.0,220793310.0,217295623.0,3898875.0,0.001736,0.0,0.000106,0.001784,0.0,4184247.0,4153396.0,1546288.0,0.0,5678215.0,4131927.0,4369902.0,4313445.0,2826000.0,0.500521,0,4184247.0,98352.0,67063.0,98370.0,139740835.0,0.9673145756496184
lib68838_AAAM5GYM5,98.3,73.5,677933,394480,0.0,FIRST_OF_PAIR,258403285.0,2640977.0,8275742.0,5627109.0,0.0,2641816.0,9444929.0,41332327.0,Unknown Library,56.677849,0.816902,0.591519,0.735926,0.418699,366238,0,0.0,0.004238,0.579337,0.499921,0.021175,0.092667,0.881645,1.0,0.992482,0.994359,0.004573,0.873127,0.302308,0.267475,446032789.0,450383868.0,212100526.0,208694447.0,3743487.0,0.001706,0.0,9.6e-05,0.001753,0.0,3983442.0,3953495.0,1401750.0,0.0,5332943.0,3931193.0,4133135.0,4064470.0,2039857.0,0.500144,0,3983442.0,109574.0,78668.0,109584.0,134839233.0,0.9671977208900698
lib68839_AAAM5GYM5,98.4,74.6,622392,370118,0.0,FIRST_OF_PAIR,244864039.0,2537826.0,8255253.0,5256006.0,0.0,2535966.0,8986089.0,37340366.0,Unknown Library,56.693619,0.839184,0.579114,0.703695,0.421341,333320,0,0.0,0.004337,0.57706,0.500183,0.021177,0.087998,0.886366,1.0,0.992743,0.994258,0.00452,0.877749,0.309306,0.253685,424330359.0,428496079.0,201873329.0,198634423.0,3563198.0,0.001722,0.0,9.5e-05,0.00177,0.0,3788400.0,3760908.0,1240554.0,0.0,4979865.0,3739311.0,3918732.0,3856309.0,1917778.0,0.5,0,3788400.0,100773.0,71096.0,100790.0,131247823.0,0.966637975679632
lib68840_AAAM5GYM5,98.6,71.9,894594,433464,0.0,FIRST_OF_PAIR,286988304.0,3036850.0,9439270.0,7095120.0,0.0,3042918.0,17353339.0,76403578.0,Unknown Library,56.676086,0.842715,0.573081,0.697491,0.416828,702844,0,0.0,0.005139,0.521589,0.499501,0.031539,0.13886,0.824348,1.0,0.992602,0.995457,0.005327,0.816964,0.302759,0.290886,550219480.0,555192612.0,261666099.0,257644558.0,4616931.0,0.001679,0.0,0.000104,0.001724,0.0,4905436.0,4869148.0,1954062.0,0.0,6801089.0,4847027.0,5098210.0,5026501.0,2930792.0,0.500185,0,4905436.0,114347.0,81821.0,114364.0,166583822.0,0.9746773838920272
lib68841_AAAM5GYM5,98.4,75.2,622026,347949,0.0,FIRST_OF_PAIR,235250831.0,2492979.0,9216638.0,5457212.0,0.0,2492815.0,18149712.0,56843559.0,Unknown Library,56.676302,0.842264,0.557494,0.678165,0.412553,564315,0,0.0,0.005987,0.528291,0.500016,0.040758,0.127651,0.826651,1.0,0.99279,0.992926,0.00501,0.819145,0.29836,0.236837,445305342.0,449386229.0,212792487.0,209225477.0,3754427.0,0.001756,0.0,0.000104,0.001811,0.0,3977330.0,3948653.0,1185980.0,0.0,5106701.0,3920721.0,4102287.0,4037442.0,2230915.0,0.499968,0,3977330.0,110851.0,73213.0,110869.0,132861451.0,0.9560871008859468
lib68842_AAAM5GYM5,98.2,75.3,585579,325671,0.0,FIRST_OF_PAIR,223957428.0,2339071.0,8294671.0,4998869.0,0.0,2337941.0,13007153.0,47143416.0,Unknown Library,56.724731,0.835415,0.570991,0.675719,0.418264,444855,0,0.0,0.006465,0.551012,0.500121,0.032002,0.115989,0.846452,1.0,0.993266,0.991522,0.005639,0.838031,0.295441,0.241397,406447746.0,410532011.0,194438872.0,191281336.0,3430846.0,0.001749,0.0,9.9e-05,0.001802,0.0,3636085.0,3611599.0,1106687.0,0.0,4687667.0,3580980.0,3765425.0,3696133.0,2291812.0,0.500141,0,3636085.0,117072.0,78065.0,117085.0,120081164.0,0.9611678161600153
lib68843_AAAM5GYM5,98.6,73.6,957463,443894,0.0,FIRST_OF_PAIR,311658741.0,3196937.0,10363023.0,7083702.0,0.0,3189426.0,18735623.0,68095790.0,Unknown Library,56.673664,0.82539,0.580547,0.712123,0.410011,648645,0,0.0,0.004194,0.552754,0.500588,0.033229,0.120774,0.842236,1.0,0.992722,0.995111,0.003817,0.834898,0.289482,0.269388,563828896.0,568784678.0,267324250.0,263067489.0,4715983.0,0.001628,0.0,9.5e-05,0.001676,0.0,5026727.0,4990143.0,1794566.0,0.0,6760312.0,4965746.0,5215299.0,5141226.0,2152314.0,0.500478,0,5026727.0,120506.0,85624.0,120518.0,163218272.0,0.9713607376481959
lib68844_AAAM5GYM5,98.6,75.2,769310,379952,0.0,FIRST_OF_PAIR,264610958.0,2653569.0,8717765.0,5537857.0,0.0,2643423.0,12261616.0,43481704.0,Unknown Library,56.650969,0.845805,0.581771,0.692907,0.424815,407953,0,0.0,0.003857,0.587193,0.500958,0.02721,0.096489,0.872494,1.0,0.992443,0.995202,0.003864,0.864434,0.2853,0.254918,450636773.0,454838327.0,213148907.0,209711459.0,3762851.0,0.001643,0.0,8.9e-05,0.001696,0.0,4020933.0,3990547.0,1328861.0,0.0,5300262.0,3971401.0,4166500.0,4106568.0,1741244.0,0.500374,0,4020933.0,97387.0,69374.0,97399.0,128566885.0,0.974684070029255
lib68845_AAAM5GYM5,98.6,73.0,1054930,380637,0.0,FIRST_OF_PAIR,260271801.0,2781124.0,9492983.0,6777347.0,0.0,2784174.0,22661855.0,91506247.0,Unknown Library,56.654683,0.860253,0.568407,0.667591,0.409549,865524,0,0.0,0.005218,0.490017,0.499726,0.042666,0.17228,0.779912,1.0,0.992602,0.994539,0.005223,0.772522,0.289895,0.277968,531148427.0,536229351.0,250937550.0,247024987.0,4430467.0,0.001696,0.0,0.000105,0.001752,0.0,4742249.0,4707167.0,1769397.0,0.0,6450860.0,4681463.0,4948208.0,4880086.0,2774081.0,0.500357,0,4742249.0,116614.0,79893.0,116632.0,153977347.0,0.9690358188831116
lib68846_AAAM5GYM5,99.1,75.2,416389,115179,0.0,FIRST_OF_PAIR,81688648.0,877710.0,5424992.0,2912986.0,0.0,875839.0,42032750.0,65666082.0,Unknown Library,56.570856,0.812531,0.568956,0.716544,0.399136,872466,0,0.0,0.006522,0.341179,0.500533,0.175553,0.27426,0.54401,1.0,0.992903,0.992714,0.006267,0.538656,0.202831,0.21293,239430453.0,241810595.0,113833004.0,112030766.0,2013733.0,0.002016,0.0,0.000121,0.002186,0.0,2141921.0,2126720.0,562920.0,0.0,2674144.0,2111224.0,2189453.0,2169545.0,1500575.0,0.499978,0,2141921.0,45840.0,22736.0,45870.0,48564026.0,0.9337545734857634
